"GID","GeneticGroup","BRNHT1","DM","DM_white","DM_yellow","HI","logFYLD","logFYLD_lowCMD","logFYLD_nohav5","logFYLD_propHAVpt5","logFYLD_propHAVpt75","logRTNO","logRTNO_lowCMD","logRTNO_nohav5","logRTNO_propHAVpt5","logRTNO_propHAVpt75","logTOPYLD","logTOPYLD_lowCMD","logTOPYLD_nohav5","logTOPYLD_propHAVpt5","logTOPYLD_propHAVpt75","MCMDS","PLTHT","RTSZ","TCHART"
"TMS18F1195P0013_A17702","TMS18F",1.33959149012231,-2.18345077590884,-3.47823181242583,1.14909113642153,0.0699422538652382,0.103777322249233,NA,NA,NA,NA,0.130280888218643,NA,NA,NA,NA,-0.104269419611596,NA,NA,NA,NA,0.1126538574626,-12.206872829323,0.041186998058892,-0.111377775051399
"TMS18F1196P0002_A17339","TMS18F",1.96249485246576,-5.70769306738582,-4.91246990779862,-2.36091750882574,0.0495057875331755,0.164782258168297,NA,NA,NA,NA,0.107574315961737,NA,NA,NA,NA,0.0570415759821073,NA,NA,NA,NA,0.224932323331584,-4.66093086362923,0.0630219280970879,0.52107029736821
"TMS18F1196P0019_A18885","TMS18F",-6.11690331385027,-3.43682357829114,-4.2163665830181,0.0443172112559221,0.0632071194142491,0.140383559448891,NA,NA,NA,NA,0.11732846169199,NA,NA,NA,NA,-0.19169749544007,NA,NA,NA,NA,-0.0384368985190032,-7.57675253746071,0.210267616300436,0.442335335551287
"TMS18F1197P0006_A17400","TMS18F",2.29338885270824,-1.54276226567,-1.87788358237472,0.418739718721851,0.0181964882976057,0.0672675916530319,NA,NA,NA,NA,0.0264259275455163,NA,NA,NA,NA,0.0345624620728196,NA,NA,NA,NA,-0.215210621268379,-4.55718416631057,0.0999995544105146,0.126046368809181
"TMS18F1197P0012_A17533","TMS18F",10.6699863499621,-0.841158268944363,-0.906920583250194,-0.0776034014784957,0.0525716730229441,0.196522156579893,NA,NA,NA,NA,0.11808395768975,NA,NA,NA,NA,0.0385055731279905,NA,NA,NA,NA,-0.271512478211484,4.586808493993,0.222295887585981,0.0351902912388115
"TMS18F1197P0022_A17700","TMS18F",0.573939238140441,-4.39782170630418,-4.59353226425555,-0.71651108906296,0.0542535454364706,0.154069029179018,NA,NA,NA,NA,0.0968928490534356,NA,NA,NA,NA,-0.0264660979365432,NA,NA,NA,NA,-0.283907733592058,-7.15982315360992,0.207205414431724,0.188279369109248
"TMS18F1198P0017_A17378","TMS18F",-5.60067084955672,-1.2241917795989,-1.44525706856051,-1.23106751099663,-0.024688032015541,-0.0384113045111278,NA,NA,NA,NA,-0.0319012106023604,NA,NA,NA,NA,0.0743141481839244,NA,NA,NA,NA,-0.186051973886981,-11.4660920809812,0.207971280705015,0.368751077165461
"TMS18F1199P0001_A17371","TMS18F",-9.60532749988434,-1.03534281271525,-1.92256565480285,-0.0188307811975528,0.0236601863752307,0.0656674172845338,NA,NA,NA,NA,0.0466571993933749,NA,NA,NA,NA,0.0365090152619576,NA,NA,NA,NA,-0.0854321806330298,-5.62303903792496,0.298993558395803,0.527934127964827
"TMS18F1199P0003_A18894","TMS18F",-10.0657141401951,-2.87910711680638,-3.29161209750279,-0.731219413242157,-0.0359768092327003,-0.0301480658384298,NA,NA,NA,NA,-0.0979970507132528,NA,NA,NA,NA,0.0804878953732158,NA,NA,NA,NA,0.214298907917349,-11.9898474368984,0.145916526810771,0.74643464764685
"TMS18F1199P0006_A17503","TMS18F",-13.6708058545602,-2.07852797066436,-2.75809242863935,-0.0976148539980098,-0.0102822486169787,0.0489274564612098,NA,NA,NA,NA,-0.039858756561691,NA,NA,NA,NA,0.104158381581869,NA,NA,NA,NA,-0.278313686460599,-6.61352767800953,0.335672231782626,0.839987697683405
